ID,NAMES ,PARTY,STATE,FEDERAL  CONSTITUENCY,GENDER,AGE,STATUS
92,WAIVE EJIROGHENE FRANCIS,APC,DELTA,UGHELLI-NORTH/UGHELLI,Male,52,New Representative
93,THOMAS EREYITOMI,PDP,DELTA,WARRI-NORTH/WARRI-SOUTH/WARRI-SOUTH,Male,53,New Representative
94,SYLVESTER OGBAGA,PDP,EBONYI,ABAKALIKI/IZZI,Male,57,Returning Representative
95,IGARIWEY IDUMA ENWO,PDP,EBONYI,AFIKPO-NORTH/AFIKPO-SOUTH,Male,57,Returning Representative
96,CHUKWUMA ALUGBALA NWAZUNKU,PDP,EBONYI,EBONYI/OHAUKWU,Male,42,Returning Representative
97,ANAYO EDWIN NWONU,PDP,EBONYI,EZZA-NORTH/ISHIELU,Male,43,Returning Representative
98,OGBEE LAZARUS NWERU,PDP,EBONYI,EZZA-SOUTH/IKWO,Male,50,Returning Representative
99,MAKWE LIVINUS MAKWE,PDP,EBONYI,IVO/OHAOZARA/ONICHA,Male,55,New Representative
100,PETER O AKPATASON,APC,EDO,AKOKO EDO,Male,,New Representative
101,JUDE ISE-IDEHEN,PDP,EDO,EGOR/IKPOBAOKHA,Male,,New Representative
102,JOE EDIONWELE,PDP,EDO,ESAN-CENTRAL/ESAN-WEST/IGUEBEN,Male,58,New Representative
103,SERGIUS OSEASOCHIE OGUN,PDP,EDO,ESAN-NORTH-EAST/ESAN-SOUTH-EAST,Male,,Returning Representative
104,JOHNSON EGWAKHIDE OGHUMA,APC,EDO,ETSAKO-CENTRAL/ETSAKO-EAST/ETSAKO-WEST,Male,58,Returning Representative
105,OGBEIDE-IHAMA OMOREGIE,PDP,EDO,OREDO,Male,45,Returning Representative
106,PATRICK AISOWIEREN,APC,EDO,ORHIONMWON/UHUNMWODE,Male,46,Returning Representative
107,IDAHOSA DENIS,APC,EDO,OVIA-NORTH-EAST/OVIA-SOUTH-WEST,Male,38,New Representative
108,JULIUS IHONVBERE,APC,EDO,OWAN-EAST/OWAN-WEST,Male,62,New Representative
109,FATOBA OLUSOLA STEVE,APC,EKITI,ADO-EKITI/IREPODUN IFELODUN,Male,,New Representative
110,OGUNLOLA OMOWUMI OLUBUNMI,APC,EKITI,IJERO/-EKITI-WEST/EFON,Female,,New Representative
111,ADARAMODU ADEYEMI RAPHAEL,APC,EKITI,EKITI-SOUTH-WEST/IKERE/ISEORUN,Male,,New Representative
112,BAMISILE OLUFEMI RICHARD,APC,EKITI,GBONYIN/-EKITI-EAST/EMURE,Male,,New Representative
113,OLANREWAJU IBRAHIM KUNLE,APC,EKITI,IDO/OSI/MOBA/ILEJEMEJE,Male,,New Representative
114,PETER OWOLABI,APC,EKITI,IKOLE/OYE,Male,,New Representative
115,OKECHUKWU TOBY,PDP,ENUGU,ANINRI/AWGU/OJIRIVER,Male,56,Returning Representative
116,NNAJI PRINCE CORNELIUS NWAEDOZIE,PDP,ENUGU,ENUGU-EAST/ISI-UZO,Male,45,New Representative
117,CHUKWUEGBO OFOR GREGORY,PDP,ENUGU,ENUGU-NORTH/ENUGU-SOUTH,Male,47,New Representative
118,AMADI DENNIS OGUERINWA,PDP,ENUGU,EZEAGU/UDI,Male,50,Returning Representative
119,OKE MARTINS,PDP,ENUGU,IGBO-ETITI/UZO-UWANI,Male,59,New Representative
120,SIMON CHUKWUEMEKA ATIGWE,PDP,ENUGU,IGBO-EZE-NORTH/UDENU,Male,60,New Representative
121,NNAJI NNOLIM JOHN,PDP,ENUGU,NKANU-EAST/NKANU-WEST,Male,47,New Representative
122,ASADU PATRICK OZIOKOJA,PDP,ENUGU,NSUKKA/IGBO-EZE-SOUTH,Male,54,Returning Representative
359,JIBA YOHANNA MICAH,PDP,FCT,AMAC/BWARI,Male,49,New Representative
360,HASSAN SOKODABO USMAN,PDP,FCT,KUJE/ABAJI/GWAGWALADA/KWALI,Male,56,New Representative
123,USMAN BELLO KUMO,APC,GOMBE,AKKO,Male,,New Representative
124,MELA VICTOR,APC,GOMBE,BALANGA/BILLIRI,Male,45,New Representative
125,AISHATU JIBRIL DUKKU,APC,GOMBE,DUKKU/NAFADA,Female,54,Returning Representative
126,BAUCHI YAYA TANGO,APC,GOMBE,GOMBE/KWAMI/FUNAKAYE,Male,55,New Representative
127,KARU SIMON ELISHA,APC,GOMBE,KALTUNGO/SHONGOM,Male,40,New Representative
128,ABUBAKAR YUNUSA AHMAD,APC,GOMBE,YAMALTU/DEBA,Male,58,Returning Representative
129,BEDE UCHENNA EKE,PDP,IMO,ABO-MBAISE/NGOROKPALA,Male,46,Returning Representative
130,EMEKA MARTINS CHINEDU,PDP,IMO,AHIAZU-MBAISE/EZINIHITTE,Male,53,New Representative
131,NWAJIUBA CHUKWUEMEKA,ACCORD,IMO,EHIMEM BANO/IHITE-UBOMA/OBOWO,Male,46,*** MADE  
132,PASCHAL OBI,ACTIONALLIANCE,IMO,IDEATO-NORTH/IDEATO-SOUTH,Male,48,New Representative
133,NWAWUBA HENRY NDOCHUKWU,PDP,IMO,IKEDURU/MBAITOLI,Male,49,Returning Representative
134,ONWUBUARIRI OBINNA KINGSLEY,PDP,IMO,ISIALA MBANO/OKIGWE/ONUIMO,Male,40,New Representative
135,UGONNA OZURIGBO,APC,IMO,ISU/NJABA/NKWERE/NWANGELE,Male,40,New Representative
136,KINGSLEY C UJU,AA,IMO,OGUTA/OHAJI-EGBEMA/ORU-WEST,Male,40,New Representative
137,JERRY ALAGBAOSO,PDP,IMO,ORU-EAST/ORSU/ORLU,Male,65,Returning Representative
138,ELEZIEANYA IKENNA ONYECHERE,PDP,IMO,OWERRI-MUNICIPAL/OWERRI-NORTH/OWERRI-WEST,Male,49,New Representative
139,ADAMU MUHAMMADU FAGENGAWO,APC,JIGAWA,BABURA/GARKI,Male,68,Returning Representative
140,DAU ALIYU MAGAJI,APC,JIGAWA,BIRNIN KUDU/BUJI,Male,55,Returning Representative
141,FULATA ABUBAKAR HASSAN,APC,JIGAWA,BIRNIWA/GURI/KIRIKASAMA,Male,59,Returning Representative
142,ABDULLAHI IBRAHIM DUTSE,APC,JIGAWA,DUTSE/KIYAWA,Male,59,Returning Representative
143,SANI NAZIFI,APC,JIGAWA,GUMEL/SULE/MAIGATARI GAGARAWA/TANKARKAR,Male,38,New Representative
144,KILA HASSAN YUGUDA,APC,JIGAWA,GWARAM,Male,67,Returning Representative
145,KAZAURE MUHAMMAD GUDAJI,APC,JIGAWA,KAZAURE/RONI/GWIWA/YANKWASHI,Male,46,Returning Representative
146,IBRAHIM USMAN AUYO,APC,JIGAWA,HADEJIA/KAFINHAUSA/AUYO,Male,54,Returning Representative
147,YUSUF SAIDU MIGA,APC,JIGAWA,JAHUN/MIGA,Male,61,Returning Representative
148,ABUBAKAR MAKKI YALLEMAN,APC,JIGAWA,MALLAMMADORI/KAUGAMA,Male,49,New Representative
149,SANI ADO KIRI,APC,JIGAWA,RINGIM/TAURA,Male,60,New Representative
150,SHEHU BALARABE,APC,KADUNA,BIRNIN GWARI/GIWA,Male,51,New Representative
151,UMAR BARDE YAKUBU,PDP,KADUNA,CHIKUN/KAJURU,Male,50,Returning Representative
152,ZAYYAD IBRAHIM,APC,KADUNA,IGABI,Male,41,New Representative
153,HAMISU IBRAHIM,APC,KADUNA,IKARA/KUBAU,Male,43,New Representative
154,MAGAJI AMOS GWAMNA,PDP,KADUNA,JABA/ZANGONKATAF,Male,47,New Representative
155,GARBA SHEHU NICHOLAS,PDP,KADUNA,JEMA'A/SANGA,Male,58,Returning Representative
156,GABRIEL SALEH ZOCK,APC,KADUNA,KACHIA/KAGARKO,Male,32,New Representative
157,SULEIMAN SAMAILA,APC,KADUNA,KADUNA-NORTH,Male,37,Returning Representative
158,AHMED MUKTAR,APC,KADUNA,KADUNA-SOUTH,Male,51,New Representative
159,GWANI GIDEON LUCAS,PDP,KADUNA,KAURA,Male,54,Returning Representative
160,CHAWAI ZAKARI MUKHTAR,APC,KADUNA,KAURU,Male,40,New Representative
161,SULEIMAN ALIYU LERE,APC,KADUNA,LERE,Male,,New Representative
162,LADAN MUKHTAR SHEHU,APC,KADUNA,MAKARFI/KUDAN,Male,32,New Representative
163,MOHAMMAD GARBA DATT,APC,KADUNA,SABON GARI,Male,58,Returning Representative
164,HAMZA IBRAHIM,APC,KADUNA,SOBA,Male,44,New Representative
165,TAJUDEEN ABBAS,APC,KADUNA,ZARIA,Male,53,Returning Representative
166,GAYA ABDULLAHI MAHMUD,APC,KANO,ALABSU/GAYA/AJINGI,Male,55,Returning Representative
167,ABDULMUMIN JIBRIN,APC,KANO,BEBEJI/KIRU,Male,42,Returning Representative
168,ABUBAKAR KABIR ABUBAKAR,APC,KANO,BICHI,Male,37,New Representative
169,ABDALLAH BABANGIDA ALASAN,APC,KANO,DALA,Male,42,New Representative
170,AYUBA BADAMASI,APC,KANO,DAMBATTA/MAKODA,Male,53,Returning Representative
171,JOBE TIJJANI ABDULKADIR,APC,KANO,DAWAKIN TOFA/TOFA/RIMIN GADO,Male,48,New Representative
172,DAWAKI MUSTAPHA BALA,APC,KANO,DAWAKIN-KUDU/WARAWA,Male,50,Returning Representative
173,GARBA AL-HASSAN ADO,APC,KANO,DOGUWA/TUDUNWADA,Male,53,Returning Representative
174,SULEIMAN AMINU,APC,KANO,FAGGE,Male,53,Returning Representative
175,NASIRU ABDUWA,APC,KANO,GEZAWA/GABASAWA,Male,,New Representative
176,KEN-KEN LAWAN ABDULLAHI,APC,KANO,GWALE,Male,55,New Representative
177,GARO MUSA UMAR,APC,KANO,GWARZO/KABO,Male,56,New Representative
178,SHAABAN IBRAHIM SHARADA,APC,KANO,KANO-MUNICIPAL,Male,34,New Representative
179,DEDERI HARUNA ISA,APC,KANO,KARAYE/ROGO,Male,58,New Representative
180,DAN AGUNDI MUNIR BABBA,APC,KANO,KUMBOTSO,Male,56,Returning Representative
181,DRIS KABIRU,APC,KANO,KURA/MADOBI/GARUN MALLAM,Male,45,New Representative
182,NASS SANI MAARUF,APC,KANO,MINJI BIR/UNGOGO,Male,39,New Representative
183,AHMED NASSIR ALI,APC,KANO,NASSARAWA,Male,50,Returning Representative
184,RURUM KABIRU ALHASSAN USMAN,APC,KANO,RANO/BUNKURE/KIBIYA,Male,48,New Representative
185,BADAU YUSUF AHMAD,APC,KANO,SHANONO/BAGWAI,Male,57,New Representative
186,MOHAMMED SHAMSUDEEN BELLO,APC,KANO,SUMAILA/TAKAI,Male,50,New Representative
187,BAHIM MUHAMMAD HAFIZ KAWU,APC,KANO,TARAUNI,Male,34,New Representative
188,BALA SANI UMAR,APC,KANO,TSANYAWA/KUNCHI,Male,48,Returning Representative
189,ALI WUDIL MUHAMMAD,APC,KANO,WUDIL/GARKO,Male,58,Returning Representative
190,AMIRU TUKUR,APC,KATSINA,BAKORI/DANJA,Male,46,New Representative
191,HAMZA DALHATU BATAGARAWA,APC,KATSINA,BATAGARAWA/CHARANCHI/RIMI,Male,57,New Representative
192,AHMED DAYYABU SAFAN,APC,KATSINA,BATSARI/SAFANA/DANMUSA,Male,58,Returning Representative
193,AMINU ASHIRU MANI,APC,KATSINA,BINDAWA/MANI,Male,46,Returning Representative
194,FATUHU MUHAMMED,APC,KATSINA,DAURA/SANDAMU/MAI'ADUA,Male,40,New Representative
195,ABDULKADIR ARMAYAU,APC,KATSINA,DUTSIN-MA/KURFI,Male,44,New Representative
196,MURTALA ISAH KANKARA,APC,KATSINA,FASKARI/KANKARA/SABUWA,Male,43,Returning Representative
197,DANDUTSE MUNTARI MOHAMMED,APC,KATSINA,FUNTUA/DANDUME,Male,52,Returning Representative
198,ABUBAKAR YAHAYA KUSADA,APC,KATSINA,INGAWA/KANKIA/KUSADA,Male,39,New Representative
199,SADA SOLI,APC,KATSINA,JIBIA/KAITA,Male,56,New Representative
200,SALISU IRO ISANSI,APC,KATSINA,KATSINA,Male,42,New Representative
201,BABANGIDA IBRAHIM,APC,KATSINA,MALUMFASHI/KAFUR,Male,53,Returning Representative
202,MANSIR ALIYU MASHI,APC,KATSINA,MASHI/DUTSI,Male,42,New Representative
203,AHMED USMAN LIMAN,APC,KATSINA,MATAZU/MUSAWA,Male,56,New Representative
204,NASIRU SANI ZANGON DAURA,APC,KATSINA,ZANGO/BAURE,Male,50,Returning Representative
205,JEGA MUHAMMAD UMAR,APC,KEBBI,ALEIRO/GWANDU/JEGA,Male,50,Returning Representative
206,UMAR ABDULLAHI KAMBA,APC,KEBBI,AREWA/DANDI,Male,64,New Representative
207,BASHER ISAH,APC,KEBBI,ARGUNGU/AUGIE,Male,50,New Representative
208,BELLO A KAOJE,APC,KEBBI,BAGUDO/SURU,Male,46,New Representative
209,MUHAMMAD YAKUBU BELLO,APC,KEBBI,BUNZA/BIRNIN KEBBI/KALGO,Male,56,New Representative
210,TUKURA KABIR IBRAHIM,APC,KEBBI,FAKAI/SAKABA/WASAGU,Male,34,New Representative
211,MOHAMMED SHEHU,APC,KEBBI,KOKOBESSE/MAIYAMA,Male,40,New Representative
212,YUSUF TANKO SUNUNU,APC,KEBBI,NGASKI/SHANGA/YAURI,Male,51,New Representative
213,BELLO JOSEPH ASUKU,APC,KOGI,ADAVI/OKEHI,Male,30,New Representative
214,IDIRISU LAWAL MUHAMMADU,APC,KOGI,AJAOKUTA,Male,56,Returning Representative
215,YUSUF AHMED TIJANI,APC,KOGI,OKENE/OGORI–MAGOGO,Male,47,Returning Representative
216,ALI ABDULLAHI IBRAHIM,APC,KOGI,ANKPA/OMALA/OLAMABORO,Male,54,New Representative
217,ABDULLAHI HASSAN,APC,KOGI,BASSA/DEKINA,Male,47,New Representative
218,ZACHARIAS DAVID IDRIS,APC,KOGI,IDAH/IGALAMELAODULU/IBAJI/OFU,Male,46,New Representative
219,YUSUF TAJUDEEN AYO,PDP,KOGI,IJUMU/KABBABUNU,Male,50,Returning Representative
220,ISAH ABDULKAREEM USMAN,APC,KOGI,LOKOJA/KOGIK.K.,Male,58,New Representative
221,LEKE JOSEPH ABEJIDE,ADC,KOGI,YAGBA-EAST/YAGBA-WEST/MOPAMURO,Male,43,New Representative
222,MOHAMMED OMAR BIO,APC,KWARA,BARUTEN/KAIAMA,Male,54,New Representative
223,AHMED ABUBAKAR NDAKENE,APC,KWARA,EDU/PATIGI/MORO,Male,46,New Representative
