ID,NAMES ,PARTY,STATE,FEDERAL  CONSTITUENCY,GENDER,AGE,STATUS
281,AKINFOLARIN MAYOWA SAMUEL,APC,ONDO,ILEOLUJI/OKEIGBO/ODIGBO,Male,57,Returning Representative
282,KENGBOLU GBOLUGA DELE,PDP,ONDO,IRELE/OKITIPUPA,Male,51,New Representative
283,PETER ABIOLA MAKINDE,ADC,ONDO,ONDO-EAST/ONDO-WEST,Male,45,New Representative
284,ADELEGBE OLUWATIMEHIN E,APC,ONDO,OWO/OSE,Male,56,New Representative
285,LAWRENCE BABATUNDE AYENI,APC,OSUN,ATAKUMOSA-EAST/ATAKUMOSA-WEST/ILESA-EAST/ILESA-WEST,Male,57,New Representative
286,TAIWO OLUKEMI OLUGA,APC,OSUN,AYEDA ADE/IREWOLE/ISOKAN,Female,43,New Representative
287,AMOBI YINUSA AKINTOLA,APC,OSUN,AYEDIRE/IWO/OLA-OLUWA,Male,57,New Representative
288,OLUFEMI FAKEYE,APC,OSUN,BOLUWADURO/IFEDAYO/ILA,Male,66,Returning Representative
289,SALAM BAMIDELE,PDP,OSUN,EDE-NORTH/EDE-SOUTH/EGBEDORE/EJIGBO,Male,49,New Representative
290,AJILESORO ABIMBOLA TAOFEEK,PDP,OSUN,IFE-CENTRAL/IFE-NORTH/IFE-SOUTH/IFE-EAST,Male,40,New Representative
291,OYEWO OLUBUKOLA OYEGBILE,APC,OSUN,IREPODUN/OROLU/OLORUNDA/OSOGBO,Male,56,New Representative
292,OKE OLUWOLE BUSAYO,PDP,OSUN,OBOKUN/ORIADE,Male,51,Returning Representative
293,AFOLABI RASHEED OLALEKAN,APC,OSUN,ODO-OTIN/IFELODUN/BORIPE,Male,57,New Representative
294,ADEYEMI AKEEM ADENIYI,APC,OYO,AFIJIO/OYO-EAST/OYO-WEST/ATIBA,Male,41,Returning Representative
295,AKINTOLA OLUOKUN GEORGE,APC,OYO,AKINYELE/LAGELU,Male,69,New Representative
296,AKINOLA ADEKUNLE ALABI,APC,OYO,EGBEDA/ONA-ARA,Male,41,New Representative
297,OLAIDE ADEWALE AKINREMI,APC,OYO,IBADAN-NORTH,Male,35,New Representative
298,ABASS ADIGUN ADEKUNLE,PDP,OYO,IBADAN-NORTH-EAST/IBADAN-SOUTH-EAST,Male,43,New Representative
299,OLAJIDE A STANLEY,PDP,OYO,IBADAN-SOUTH-WEST/IBADAN-NORTH-WEST,Male,41,New Representative
300,AJIBOLA SAUBANA MURAINA,PDP,OYO,IBARAPA-CENTRAL/IBARAPA-NORTH,Male,56,New Representative
301,OLUYEMI ADEWALE TAIWO,PDP,OYO,IBARAPA-EAST/IDO,Male,55,New Representative
