S/N ,NAME ,POLITICALPARTY,STATE ,SENATORIAL DISTRICT ,AGE ,GENDER,STATUS
74,Abdullahi Adamu,APC,NASARAWA STATE,Nasarawa West,72,Male,Returning Senator
75,Tanko Al-Makura,APC,NASARAWA STATE,Nasarawa South,65,Male,New Senator
76,Akwashiki Godiya,APC,NASARAWA STATE,Nasarawa North,45,Male,New Senator
77,Mohammed Sani Musa,APC,NIGER STATE,Niger East,54,Male,New Senator
78,Abdullahi Aliyu Sabi,APC,NIGER STATE,Niger North,51,Male,Returning Senator
79,Bima Mohammed Enagi,APC,NIGER STATE,Niger South,59,Male,New Senator
80,Ibikunle Oyelaja Amosun,APC,OGUN STATE,Ogun Central,60,Male,New Senator
81,Mustapha Ramoni Olalekan,APC,OGUN STATE,Ogun East,58,Male,New Senator
82,Odebiyi Tolulope Akinremi,APC,OGUN STATE,Ogun West,54,Male,New Senator
83,Tofowomo Olubukola,PDP,ONDO STATE,Ondo South,61,Male,New Senator
84,Pius Ayo Akinyelure,PDP,ONDO STATE,Ondo Central,62,Male,New Senator
85,Robert Ajayi Boroffice,APC,ONDO STATE,Ondo North,69,Male,Returning Senator
86,Ajibola Surajudeen Bashir,APC,OSUN STATE,Osun Central,46,Male,New Senator
87,Fadahunsi Francis Adenigba,PDP,OSUN STATE,Osun East,66,Male,New Senator
88,Adelere Adeyemi Oriolowo,APC,OSUN STATE,Osun West,62,Male,New Senator
89,Kola Ademola Balogun,PDP,OYO STATE,Oyo South,62,Male,New Senator
90,Teslim Kolawole Folarin,APC,OYO STATE,Oyo Central,54,Male,New Senator
91,Abdulfatai Buhari,APC,OYO STATE,Oyo North,54,Male,Returning Senator
92,Dimka Hezekiah Ayuba,APC,PLATEAU STATE,Plateau Central,66,Male,New Senator
93,Gyang Dung Istifanus,PDP,PLATEAU STATE,Plateau North,55,Male,New Senator
94,Ignatius D. Longjan,APC,PLATEAU STATE,Plateau South,72,Male,New Senator
95,Mpigi Barinda,PDP,RIVERS STATE,Rivers South East,57,Male,New Senator
96,George Sekibo,PDP,RIVERS STATE,Rivers East,61,Male,New Senator
97,Betty Apiafi,PDP,RIVERS STATE,Rivers West,49,Female,New Senator
98,Aliyu Magatakarda Wamakko,APC,SOKOTO STATE,Sokoto North,65,Male,Returning Senator
99,Shehu Abubakar Tambuwal,APC,SOKOTO STATE,Sokoto South,60,Male,New Senator
100,Ibrahim Abdullahi Gobir,APC,SOKOTO STATE,Sokoto East,65,Male,New Senator
101,Emmanuel Bwacha,PDP,TARABA STATE,Taraba South,56,Male,Returning Senator
102,Isa Suaibu Lau,PDP,TARABA STATE,Taraba North,63,Male,Returning Senator
103,Yusuf Abubakar Yusuf,APC,TARABA STATE,Taraba Central,62,Male,Returning Senator
104,Ahmad Ibrahim Lawan,APC,YOBE STATE,Yobe North,59,Male,Returning Senator
105,Bomai Ibrahim Mohammed,APC,YOBE STATE,Yobe South,58,Male,New Senator
106,Ibrahim Alhaji Geidam,APC,YOBE STATE,Yobe East,62,Male,New Senator
107,Abdulaziz Yari,APC,ZAMFARA STATE,Zamfara West,51,Male,New Senator
108,Kaura Tijanni Yahaya,APC,ZAMFARA STATE,Zamfara North,60,Male,Returning Senator
109,Aliyu Ikra Bilbis,APC,ZAMFARA STATE,Zamfara Central,62,Male,New Senator
